,lex,default,qal,nif,piel,pual,hit,hif,hof,hsht,pasq,etpa,nit,hotp,tif,htpa,poal,poel
3054,JXD/,"sammen, samtidig",,,,,,,,,,,,,,,,
3055,JXD[,,,,,,,,,,,,,,,,,
3056,JXDW,"sammen, samtidig",,,,,,,,,,,,,,,,
3057,JXDW/,,,,,,,,,,,,,,,,,
3058,JXDJ>L/,,,,,,,,,,,,,,,,,
3059,JXDJHW/,,,,,,,,,,,,,,,,,
3060,JXZJ>L/,,,,,,,,,,,,,,,,,
3061,JXZJH/,,,,,,,,,,,,,,,,,
3062,JXZQ>L/,,,,,,,,,,,,,,,,,
3063,JXZQJH/,,,,,,,,,,,,,,,,,
3064,JXZQJHW/,,,,,,,,,,,,,,,,,
3065,JXZRH/,,,,,,,,,,,,,,,,,
3066,JXJ>L/,,,,,,,,,,,,,,,,,
3067,JXJ>LJ/,,,,,,,,,,,,,,,,,
3068,JXJD/,"kun, alene",,,,,,,,,,,,,,,,
3069,JXJH/,,,,,,,,,,,,,,,,,
3070,JXJL/,,,,,,,,,,,,,,,,,
3071,JXL[,,,,,,,,,,,,,,,,,
3072,JXL>L/,,,,,,,,,,,,,,,,,
3073,JXL>LJ/,,,,,,,,,,,,,,,,,
3074,JXM[,,være i brunst,,parre sig i brunst,,,,,,,,,,,,,
3075,JXMWR/,,,,,,,,,,,,,,,,,
3076,JXMJ/,,,,,,,,,,,,,,,,,
3077,JXP/,,,,,,,,,,,,,,,,,
3078,JXY>L/,,,,,,,,,,,,,,,,,
3079,JXY>LJ/,,,,,,,,,,,,,,,,,
3080,JXYJ>L/,,,,,,,,,,,,,,,,,
3081,JXF/,,,,,,,,,,,,,,,,,
3082,JXF[,,,,,,,,,,,,,,,,,
3083,JXT/,,,,,,,,,,,,,,,,,
3084,JVB[,,"være god, gå godt",,,,,"handle ret, gøre godt",,,,,,,,,,
3085,JVBH/,,,,,,,,,,,,,,,,,
3086,JVBTH/,,,,,,,,,,,,,,,,,
3087,JVWR/,,,,,,,,,,,,,,,,,
3088,JJN/,"vin, druk",,,,,,,,,,,,,,,,
3089,JKWNJH/,,,,,,,,,,,,,,,,,
3090,JKX[,,,,,,,irettesætte,,,,,,,,,,
3091,JKJN/,,,,,,,,,,,,,,,,,
3092,JKJNJ/,,,,,,,,,,,,,,,,,
3093,JKL[,,"kunne, være i stand til",,,,,,,,,,,,,,,
3094,JKLJHW/,,,,,,,,,,,,,,,,,
3095,JKNJH/,,,,,,,,,,,,,,,,,
3096,JKNJHW/,,,,,,,,,,,,,,,,,
3097,JLD/,"dreng, barn, ung mand",,,,,,,,,,,,,,,,
3098,JLD[,,"føde, få afkom, blive far",blive født,"hjælpe med at frembringe, jordmoder",blive født,få éns stamtavle erklæret,"blive far til, få et barn, frembringe",blive født,,"bære, frembringe, avle",,,,,,,
3099,JLDH/,,,,,,,,,,,,,,,,,
3100,JLDWT/,,,,,,,,,,,,,,,,,
3101,JLH[,,,,,,,,,,,,,,,,,
3102,JLWD/,,,,,,,,,,,,,,,,,
3103,JLWN/,,,,,,,,,,,,,,,,,
3104,JLJD/,,,,,,,,,,,,,,,,,
3105,JLL/,,,,,,,,,,,,,,,,,
3106,JLL[,,,,,,,,,,,,,,,,,
3107,JLLH/,,,,,,,,,,,,,,,,,
3108,JLPT/,,,,,,,,,,,,,,,,,
3109,JLQ/,,,,,,,,,,,,,,,,,
3110,JLQWV/,,,,,,,,,,,,,,,,,
3111,JM/,"hav, vest",,,,,,,,,,,,,,,,
3112,JMW>L/,,,,,,,,,,,,,,,,,
3113,JMJMH/,,,,,,,,,,,,,,,,,
3114,JMJN/,"højre hånd, syd, højre side",,,,,,,,,,,,,,,,
3115,JMJN=/,,,,,,,,,,,,,,,,,
3116,JMJNJ/,"-jaminit, benjaminit",,,,,,,,,,,,,,,,
3117,JMJNJ=/,,,,,,,,,,,,,,,,,
3118,JML>/,,,,,,,,,,,,,,,,,
3119,JMLK/,,,,,,,,,,,,,,,,,
3120,JMM/,,,,,,,,,,,,,,,,,
3121,JMN[,,,,,,,,,,,,,,,,,
3122,JMNH/,,,,,,,,,,,,,,,,,
3123,JMNJ/,,,,,,,,,,,,,,,,,
3124,JMN</,,,,,,,,,,,,,,,,,
3125,JMR[,,,,,,,,,,,,,,,,,
3126,JMRH/,,,,,,,,,,,,,,,,,
3127,JNH[,,,,,,,undertrykke,,,,,,,,,,
3128,JNWX/,,,,,,,,,,,,,,,,,
3129,JNWXH/,,,,,,,,,,,,,,,,,
3130,JNWM/,,,,,,,,,,,,,,,,,
3131,JNJQH/,,,,,,,,,,,,,,,,,
3132,JNQ[,,"amme, die",,,,,"amme, die",,,,,,,,,,
3133,JNCWP/,,,,,,,,,,,,,,,,,
3134,JSD/,,,,,,,,,,,,,,,,,
3135,JSD=[,,,tæt sammen,,,,,,,,,,,,,,
3136,JSD[,,"lægge fundament, grundlægge",,"grundlægge, oprette",,,,,,,,,,,,,
3137,JSDWT/,,,,,,,,,,,,,,,,,
3138,JSWD/,,,,,,,,,,,,,,,,,
3139,JSWDH/,,,,,,,,,,,,,,,,,
3140,JSWR/,,,,,,,,,,,,,,,,,
3141,JSK[,,,,,,,,,,,,,,,,,
3142,JSKH/,,,,,,,,,,,,,,,,,
3143,JSMKJHW/,,,,,,,,,,,,,,,,,
3144,JSP[,,"tilføje, fortsætte",,,,,"fortsætte, tilføje",,,,,,,,,,
3145,JSR[,,,lære sig selv,"irettesætte, vejlede",,,,,,,,,,,,,
3146,J<BY/,,,,,,,,,,,,,,,,,
3147,J<D[,,"udpege, bestemme til","mødes, komme sammen, blive enige om",,,,,,,,,,,,,,
3148,J<DW/,,,,,,,,,,,,,,,,,
3149,J<H/,,,,,,,,,,,,,,,,,
3150,J<H[,,,,,,,,,,,,,,,,,
3151,J<W>L/,,,,,,,,,,,,,,,,,
3152,J<WY/,,,,,,,,,,,,,,,,,
3153,J<WC/,,,,,,,,,,,,,,,,,
3154,J<Z[,,,,,,,,,,,,,,,,,
3155,J<ZJ>L/,,,,,,,,,,,,,,,,,
3156,J<ZJHW/,,,,,,,,,,,,,,,,,
3157,J<ZR/,,,,,,,,,,,,,,,,,
3158,J<V[,,,,,,,,,,,,,,,,,
3159,J<J>L/,,,,,,,,,,,,,,,,,
3160,J<JR/,,,,,,,,,,,,,,,,,
